ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0048732,gland development,26/90,441/18614,1.90E-21,6.02E-18,2.95E-18,5290/595/80139/2625/999/207/55294/1030/6926/675/4763/1956/2099/3169/4853/208/7494/5156/2263/4089/472/1027/4851/6794/171023/673,26
GO:1901987,regulation of cell cycle phase transition,26/90,457/18614,4.67E-21,7.39E-18,3.62E-18,7157/595/5728/5925/57492/1029/207/55294/8289/896/4193/1030/675/1956/1021/672/545/472/1027/6597/677/324/4221/4436/55193/701,26
GO:0044843,cell cycle G1/S phase transition,22/90,281/18614,8.02E-21,8.46E-18,4.14E-18,7157/4609/595/5728/5925/57492/1029/207/55294/8289/896/4193/898/1030/1956/1021/472/1027/6597/324/4221/55193,22
GO:1902105,regulation of leukocyte differentiation,22/90,319/18614,1.27E-19,1.00E-16,4.90E-17,4609/2064/2625/5925/57492/55294/8289/865/4763/5295/1021/4853/27086/861/7494/387/6597/677/841/55193/673/639,22
GO:0050678,regulation of epithelial cell proliferation,24/90,419/18614,1.68E-19,1.06E-16,5.19E-17,4609/595/2064/80139/2260/2625/5925/207/55294/1030/675/4763/1956/1021/4853/7494/2263/1027/4851/677/4221/4893/6794/3265,24
GO:0050673,epithelial cell proliferation,25/90,488/18614,3.80E-19,1.75E-16,8.56E-17,4609/595/2064/80139/2260/2625/5925/207/55294/1030/675/4763/1956/2099/1021/4853/7494/2263/1027/4851/677/4221/4893/6794/3265,25
GO:0000082,G1/S transition of mitotic cell cycle,20/90,251/18614,4.06E-19,1.75E-16,8.56E-17,7157/4609/595/5728/5925/57492/1029/207/8289/896/4193/898/1030/1956/1021/472/1027/6597/324/55193,20
GO:1902806,regulation of cell cycle G1/S phase transition,19/90,214/18614,4.42E-19,1.75E-16,8.56E-17,7157/595/5728/5925/57492/1029/207/55294/8289/896/4193/1030/1956/472/1027/6597/324/4221/55193,19
GO:0009314,response to radiation,24/90,452/18614,9.69E-19,3.41E-16,1.67E-16,7157/4609/595/2625/207/4193/675/4763/5295/1956/3845/208/672/1387/1788/545/472/4221/4436/6794/673/2072/3265/639,24
GO:0071214,cellular response to abiotic stimulus,21/90,339/18614,8.60E-18,2.47E-15,1.21E-15,7157/5290/4609/5728/2625/4214/6416/4193/3480/675/5295/208/672/1387/545/472/677/841/6794/2072/3265,21
GO:0104004,cellular response to environmental stimulus,21/90,339/18614,8.60E-18,2.47E-15,1.21E-15,7157/5290/4609/5728/2625/4214/6416/4193/3480/675/5295/208/672/1387/545/472/677/841/6794/2072/3265,21
GO:2000045,regulation of G1/S transition of mitotic cell cycle,17/90,186/18614,2.33E-17,6.01E-15,2.94E-15,7157/595/5728/5925/57492/1029/207/8289/896/4193/1030/1956/472/1027/6597/324/55193,17
GO:1901990,regulation of mitotic cell cycle phase transition,21/90,357/18614,2.47E-17,6.01E-15,2.94E-15,7157/595/5728/5925/57492/1029/207/8289/896/4193/1030/1956/1021/672/472/1027/6597/677/324/55193/701,21
GO:0044772,mitotic cell cycle phase transition,23/90,467/18614,3.01E-17,6.80E-15,3.33E-15,7157/4609/595/5728/5925/57492/1029/207/8289/896/4193/898/1030/1956/1021/672/472/1027/6597/677/324/55193/701,23
GO:1903706,regulation of hemopoiesis,22/90,415/18614,3.49E-17,7.37E-15,3.61E-15,4609/2064/2625/5925/57492/55294/8289/865/4763/5295/1021/4853/27086/861/7494/387/6597/677/841/55193/673/639,22
GO:1903131,mononuclear cell differentiation,23/90,474/18614,4.17E-17,8.24E-15,4.03E-15,7157/4609/2064/2625/57492/8289/865/5295/1021/4853/27086/861/7494/387/472/6597/677/4221/4436/55193/6794/673/639,23
GO:0030098,lymphocyte differentiation,22/90,422/18614,4.97E-17,9.25E-15,4.53E-15,7157/2064/2625/57492/8289/865/5295/1021/4853/27086/861/7494/387/472/6597/677/4221/4436/55193/6794/673/639,22
GO:0001701,in utero embryonic development,21/90,398/18614,2.22E-16,3.91E-14,1.91E-14,7157/2625/207/6926/675/1956/4853/29072/5156/2263/79728/4089/8312/54880/4851/84295/677/841/4849/4436/639,21
GO:0030217,T cell differentiation,19/90,300/18614,2.52E-16,4.19E-14,2.05E-14,7157/2064/2625/57492/8289/865/5295/1021/27086/861/7494/387/6597/677/4221/55193/6794/673/639,19
