ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa05224,Breast cancer,25/78,148/9522,6.49E-27,1.31E-24,4.23E-25,7157/5290/4609/595/5728/2064/2260/5925/207/3480/675/5295/1956/3845/2099/1021/4853/208/672/8312/4851/324/4893/673/3265,25
hsa01522,Endocrine resistance,22/78,99/9522,1.77E-26,1.79E-24,5.78E-25,7157/5290/595/2064/5925/1029/207/4193/9611/3480/5295/1956/3845/2099/4853/208/1027/2778/4851/4893/673/3265,22
hsa05218,Melanoma,20/78,73/9522,4.13E-26,2.78E-24,8.98E-25,7157/5290/595/5728/2260/5925/999/1029/207/4193/3480/5295/1956/3845/1021/208/5156/4893/673/3265,20
hsa05215,Prostate cancer,22/78,106/9522,9.16E-26,4.62E-24,1.49E-24,7157/5290/595/5728/2064/2260/5925/207/4193/898/3480/5295/1956/3845/208/1387/5156/2263/1027/4893/673/3265,22
hsa05213,Endometrial cancer,18/78,59/9522,1.69E-24,6.83E-23,2.21E-23,7157/5290/4609/595/5728/2064/999/207/5295/1956/3845/208/8312/4292/324/4893/673/3265,18
hsa05225,Hepatocellular carcinoma,24/78,170/9522,7.29E-24,2.45E-22,7.93E-23,7157/5290/4609/595/5728/5925/57492/1029/207/8289/3480/5295/1956/3845/1021/208/4089/8312/6597/324/4893/55193/673/3265,24
hsa05226,Gastric cancer,23/78,150/9522,1.02E-23,2.94E-22,9.49E-23,7157/5290/4609/595/2064/5925/999/207/898/1030/5295/1956/3845/208/2263/4089/8312/1027/4292/324/4893/673/3265,23
hsa05214,Glioma,18/78,76/9522,2.95E-22,7.45E-21,2.41E-21,7157/5290/595/5728/5925/1029/207/4193/3480/5295/1956/3845/1021/208/5156/4893/673/3265,18
hsa05220,Chronic myeloid leukemia,18/78,77/9522,3.83E-22,8.60E-21,2.78E-21,7157/5290/4609/595/5925/1029/207/4193/5295/3845/1021/208/861/4089/1027/4893/673/3265,18
hsa05210,Colorectal cancer,18/78,87/9522,4.24E-21,8.57E-20,2.77E-20,7157/5290/4609/595/207/5295/1956/3845/208/387/4089/8312/4292/324/4436/4893/673/3265,18
hsa05206,MicroRNAs in cancer,27/78,320/9522,7.86E-21,1.44E-19,4.67E-20,7157/5290/4609/595/5728/2064/1029/4193/898/5295/1956/3845/1021/4853/672/1387/1788/27086/5156/2065/387/472/1027/4851/324/4893/3265,27
hsa04218,Cellular senescence,21/78,157/9522,2.28E-20,3.85E-19,1.24E-19,7157/5290/4609/595/5728/5925/1029/207/896/4193/898/1030/5295/3845/1021/208/545/472/677/4893/3265,21
hsa05166,Human T-cell leukemia virus 1 infection,23/78,224/9522,1.25E-19,1.94E-18,6.27E-19,7157/5290/4609/595/5728/5925/4214/6416/1029/207/896/898/1030/5295/3845/208/1387/545/4089/472/4893/701/3265,23
hsa05165,Human papillomavirus infection,26/78,333/9522,3.49E-19,5.04E-18,1.63E-18,7157/5290/595/5728/5925/207/896/4193/898/5295/1956/3845/1021/4853/208/1387/545/472/8312/1027/2778/4851/324/841/4893/3265,26
hsa04068,FoxO signaling pathway,19/78,133/9522,5.15E-19,6.93E-18,2.24E-18,5290/595/5728/207/4193/1030/3480/5295/1956/3845/208/1387/4089/472/1027/4893/6794/673/3265,19
hsa01521,EGFR tyrosine kinase inhibitor resistance,16/78,80/9522,1.45E-18,1.83E-17,5.91E-18,5290/5728/2064/207/3480/4763/5295/1956/3845/208/5156/2065/2263/4893/673/3265,16
hsa05219,Bladder cancer,13/78,41/9522,3.86E-18,4.58E-17,1.48E-17,7157/4609/595/2064/5925/999/1029/4193/1956/3845/4893/673/3265,13
hsa05230,Central carbon metabolism in cancer,15/78,71/9522,7.76E-18,8.71E-17,2.81E-17,7157/5290/4609/5728/2064/2260/207/5295/1956/3845/208/5156/2263/4893/3265,15
hsa05223,Non-small cell lung cancer,15/78,73/9522,1.22E-17,1.30E-16,4.19E-17,7157/5290/595/2064/5925/1029/207/5295/1956/3845/1021/208/4893/673/3265,15
hsa05212,Pancreatic cancer,15/78,77/9522,2.88E-17,2.91E-16,9.41E-17,7157/5290/595/2064/5925/1029/207/675/5295/1956/3845/1021/208/4089/673,15
hsa04151,PI3K-Akt signaling pathway,25/78,362/9522,3.78E-17,3.63E-16,1.17E-16,7157/5290/4609/595/5728/2064/2260/207/896/4193/898/3480/5295/1956/3845/1021/208/672/5156/2065/2263/1027/4893/6794/3265,25
hsa04012,ErbB signaling pathway,15/78,86/9522,1.68E-16,1.55E-15,4.99E-16,5290/4609/2064/6416/207/5295/1956/3845/208/2065/1027/868/4893/673/3265,15
hsa04110,Cell cycle,18/78,158/9522,3.09E-16,2.71E-15,8.76E-16,7157/4609/595/5925/1029/896/4193/898/1030/1021/1387/545/4089/472/546/1027/10735/701,18
hsa04919,Thyroid hormone signaling pathway,16/78,122/9522,1.71E-15,1.44E-14,4.64E-15,7157/5290/4609/595/207/4193/9611/5295/3845/2099/4853/208/1387/4851/4893/3265,16
hsa05205,Proteoglycans in cancer,19/78,204/9522,1.85E-15,1.49E-14,4.83E-15,7157/5290/4609/595/2064/2260/207/4193/3480/5295/1956/3845/2099/208/2065/387/4893/673/3265,19
hsa05161,Hepatitis B,17/78,163/9522,1.02E-14,7.94E-14,2.57E-14,7157/5290/4609/5925/4214/6416/207/898/5295/3845/208/1387/4089/841/4893/673/3265,17
hsa05163,Human cytomegalovirus infection,19/78,227/9522,1.34E-14,1.00E-13,3.24E-14,7157/5290/4609/595/5925/1029/207/4193/5295/1956/3845/1021/208/5156/387/2778/841/4893/3265,19
hsa01524,Platinum drug resistance,13/78,75/9522,2.23E-14,1.61E-13,5.20E-14,7157/5290/2064/1029/207/4193/5295/208/672/472/4292/841/4436,13
hsa05203,Viral carcinogenesis,18/78,205/9522,3.19E-14,2.22E-13,7.19E-14,7157/5290/595/5925/1029/896/4193/898/1030/5295/3845/1021/1387/387/1027/841/4893/3265,18
